央视,#genre#
CCTV8K,http://[2409:8087:2001:20:2800:0:df6e:eb03]/wh7f454c46tw1981574683_-2118700426/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8
CCTV8K,http://[2409:8087:2001:20:2800:0:df6e:eb02]/wh7f454c46tw3737653395_1580816352/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?icpid=3&RTS=1678665935&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
CCTV8K,http://[2409:8087:2001:20:2800:0:df6e:eb03]/wh7f454c46tw1981574683_2118700426/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?icpid=3&RTS=1659435610&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
湖北,#genre#
武汉新闻综合,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000429
武汉电视剧,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000430
武汉科技生活,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000632
武汉经济,http://111.48.34.237/PLTV/88888888/224/3221230393/1.m3u8
武汉经济,http://stream.appwuhan.com/4tzb/sd/live.m3u8
武汉文体,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000431
武汉外语,http://111.48.34.237/PLTV/88888888/224/3221230352/1.m3u8
武汉教育,rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000369
湖北卫视,http://111.48.16.199/PLTV/88888888/224/3221226016/99180001000000060000000000000194.smil/index.m3u8?fmt=ts2hls
湖北经视,http://111.48.34.237/PLTV/88888888/224/3221229804/1.m3u8
湖北经视,http://111.48.16.199/PLTV/88888888/224/3221226032/99180001000000060000000000000328_mdn_1.smil/index.m3u8?fmt=ts2hls 
湖北综合,http://111.48.16.199/PLTV/88888888/224/3221226033/99180001000000060000000000000329_mdn_1.smil/index.m3u8?fmt=ts2hls
湖北综合,http://111.48.34.237/PLTV/88888888/224/3221229806/1.m3u8
湖北垄上,http://111.48.34.237/PLTV/88888888/224/3221230390/1.m3u8
湖北垄上,http://111.48.16.199/PLTV/88888888/224/3221226034/99180001000000060000000000000330.smil/index.m3u8?fmt=ts2hls
湖北公共,http://111.48.16.199/PLTV/88888888/224/3221226031/99180001000000060000000000000327.smil/index.m3u8?fmt=ts2hls
湖北影视,http://111.48.16.199/PLTV/88888888/224/3221226280/99180001000000060000000000000509.smil/index.m3u8?fmt=ts2hls
湖北教育,http://111.48.16.199/PLTV/88888888/224/3221226281/99180001000000060000000000000510.smil/index.m3u8?fmt=ts2hls
湖北生活,http://111.48.16.199/PLTV/88888888/224/3221226282/99180001000000060000000000000508.smil/index.m3u8?fmt=ts2hls
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb23]:80/wh7f454c46tw2443888236_158039228/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1674369674&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb18]/wh7f454c46tw3352677969_1732462333/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1668336154&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb23]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
卫视,#genre#
湖南卫视,http://111.48.34.237/PLTV/88888888/224/3221229739/1.m3u8
湖南卫视,http://111.48.34.237/PLTV/88888888/224/3221229983/1.m3u8
浙江卫视,http://111.48.34.237/PLTV/88888888/224/3221229788/1.m3u8
浙江卫视,http://111.48.34.237/PLTV/88888888/224/3221230460/1.m3u8
江苏卫视,http://111.48.34.237/PLTV/88888888/224/3221229743/1.m3u8
江苏卫视,http://111.48.34.237/PLTV/88888888/224/3221230509/1.m3u8
北京卫视,http://111.48.34.237/PLTV/88888888/224/3221229741/1.m3u8
北京卫视,http://111.48.34.237/PLTV/88888888/224/3221230523/1.m3u8
东方卫视,http://111.48.34.237/PLTV/88888888/224/3221229808/1.m3u8
东方卫视,http://111.48.34.237/PLTV/88888888/224/3221230448/1.m3u8
安徽卫视,http://111.48.34.237/PLTV/88888888/224/3221229778/1.m3u8
安徽卫视,http://111.48.34.237/PLTV/88888888/224/3221230529/1.m3u8
广东卫视,http://111.48.34.237/PLTV/88888888/224/3221230503/1.m3u8
深圳卫视,http://111.48.34.237/PLTV/88888888/224/3221229712/1.m3u8
深圳卫视,http://111.48.34.237/PLTV/88888888/224/3221230454/1.m3u8
辽宁卫视,http://111.48.34.237/PLTV/88888888/224/3221229825/1.m3u8
辽宁卫视,http://111.48.34.237/PLTV/88888888/224/3221230464/1.m3u8
海南卫视,http://111.48.34.237/PLTV/88888888/224/3221229794/1.m3u8
海南卫视,http://111.48.34.237/PLTV/88888888/224/3221230141/1.m3u8
山东卫视,http://111.48.34.237/PLTV/88888888/224/3221229827/1.m3u8
山东卫视,http://111.48.34.237/PLTV/88888888/224/3221230456/1.m3u8
天津卫视,http://111.48.34.237/PLTV/88888888/224/3221229786/1.m3u8
天津卫视,http://111.48.34.237/PLTV/88888888/224/3221230458/1.m3u8
重庆卫视,http://111.48.34.237/PLTV/88888888/224/3221229756/1.m3u8
重庆卫视,http://111.48.34.237/PLTV/88888888/224/3221230139/1.m3u8
东南卫视,http://111.48.34.237/PLTV/88888888/224/3221229810/1.m3u8
东南卫视,http://111.48.34.237/PLTV/88888888/224/3221230531/1.m3u8
甘肃卫视,http://111.48.34.237/PLTV/88888888/224/3221230502/1.m3u8
甘肃卫视,http://111.48.34.237/PLTV/88888888/224/3221230521/1.m3u8
甘肃卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001298/index.m3u8
广西卫视,http://111.48.34.237/PLTV/88888888/224/3221230328/1.m3u8
贵州卫视,http://111.48.34.237/PLTV/88888888/224/3221229758/1.m3u8
贵州卫视,http://111.48.34.237/PLTV/88888888/224/3221230138/1.m3u8
河北卫视,http://111.48.34.237/PLTV/88888888/224/3221229840/1.m3u8
河北卫视,http://111.48.34.237/PLTV/88888888/224/3221230143/1.m3u8
黑龙江卫视,http://111.48.34.237/PLTV/88888888/224/3221229816/1.m3u8
